Date,Train-Test,Board,Board_Type,Wheel_Diameter,Wheel_Durometer,City_State,Route,Distance,Calories,Avg_HR,Max_HR,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Min_Temp,Number_of_Laps,Min_Elevation,Max_Elevation,Temp,Relative_Humidity,Wind_Speed
10/14/21 8:42,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,481,128,157,10.4,17,295,322,59,2,904,1000,62.96,84,8.077823
10/15/21 15:59,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,523,141,166,10.9,16.5,230,295,68,3,874,1018,51.08,80,4.7224196
10/17/21 8:09,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,542,128,158,9.5,15.7,545,610,59,2,869,1009,42.08,73,5.8408874
10/18/21 15:57,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,559,146,174,11.4,16.9,295,364,78.8,2,875,1010,62.06,46,3.3554034
10/20/21 8:13,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,496,131,157,10.6,16.1,240,243,59,3,918,1010,53.06,83,3.3554034
10/26/21 15:24,Train,Bossa LDP 38,Top Mount,75,80,"Ripon, WI",ripon_west_loop,10.02,559,143,173,11.2,17.6,390,459,60.8,3,894,1008,46.94,71,12.7381055
10/30/21 8:11,Train,Gbomb C27,Platform,80,,"Ripon, WI",ripon_west_loop,10.03,536,143,178,11.4,17.8,292,351,50,3,894,1009,50,80,12.7381055
11/3/21 8:19,Train,,,,,"Ripon, WI",ripon_west_loop,10.03,500,131,151,10.8,17,240,292,41,3,883,989,28.94,69,4.7224196
11/4/21 15:27,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10.02,435,130,164,11.5,16.9,361,430,57.2,3,877,1000,41,55,12.7381055
11/7/21 8:11,Train,,,,,"Ripon, WI",ripon_west_loop,9.93,458,123,153,10.1,15.9,308,348,55.4,2,879,982,44.06,85,4.7224196
11/9/21 15:32,Train,,,,,"Ripon, WI",ripon_west_loop,9.43,480,133,157,10.6,16.1,285,308,60.8,2,903,993,46.94,61,6.9593552
11/13/21 9:13,Train,,,,,"Ripon, WI",ripon_west_loop,10.03,588,139,170,9.7,16,246,269,60.8,3,907,1018,35.96,79,10.3147586
11/15/21 13:12,Train,,,,,"Ripon, WI",radio_road_to_K,4.61,195,118,143,10.5,17.6,138,148,48.2,1,931,994,24.08,74,5.8408874
11/17/21 8:18,Train,,,,,"Ripon, WI",ripon_west_loop,10.03,481,128,172,10.1,17.7,256,299,55.4,3,877,991,46.94,90,8.077823
11/20/21 14:03,Train,,,,,"Ripon, WI",ripon_west_loop,9.77,529,134,161,10.1,17.4,315,364,59,2,899,999,37.94,64,16.0935089
11/23/21 15:15,Train,,,,,"Ripon, WI",radio_road_to_K,4.81,248,120,151,9.2,17.8,138,141,48.2,1,967,1023,33.08,49,12.7381055
11/24/21 14:25,Train,,,,,"Ripon, WI",ripon_west_loop,10.05,520,131,165,10.3,16.6,574,607,59,3,864,984,39.02,64,18.3304445
11/30/21 8:28,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,540,126,166,9,16.4,282,404,46.4,2,839,974,26.96,92,5.8408874
12/2/21 15:11,Train,,,,,"Ripon, WI",ripon_west_loop,9.85,535,137,166,10.4,16,276,367,59,2,663,793,44.96,58,17.2119767
